text,label
"Қуаныштымын , үлкен жүректі қазақ халқын өлгенше сүйіп өткен ,қазақ елін ,тілін құрметтеп кеткен азаматқа бұл үлкен құрмет.",позитивті 
Сіздің нәзік даусыңызбен бесік жырын тыңдап ұйықтағым келеді,позитивті 
Дауысың өте әдемі! ,позитивті 
"Ай сорлыларай тек кемпир шал, катын-калашка гана куштерин жетеди ",агрессивті
Бүгінгі күннің ең мейірімді бейнежазбасы,позитивті 
Ширкинай назарбаев олип бир жаксы ель басшы келсе екен орнына,агрессивті
бас иіп рақметті айтамыз,позитивті 
"Лезби, гейлерді тұтқындаңдар",агрессивті
Өте дұрыс,позитивті 
Дұрыс болған екен ,позитивті 
Акымак. Озингой соны салып берген. Ишак,агрессивті
Не деген тәрбие. Керемет,позитивті 
Кетсіңші ары жемей,агрессивті
Ату жазасын беру керек,агрессивті
кемпирди утканын мактап жазганы уят болган екен. Тан калатын нарсе емес,агрессивті
Қуаныштымын,позитивті 
Бұл шал ресейдің түбіне жетеді. Өлімі қазақтың қолынан болады,агрессивті
Өте керемет жарасады,позитивті 
Қанышерлер булар...,агрессивті
Осындай малдарго барин куртатын,агрессивті
Бізге сіз сияқты келін бұйырса екен,позитивті 
Даусы дерзкий,позитивті 
Көттері қышып өздері барады ғо,агрессивті
Кошеде семьяларыңмен голый журсендерш Аша Мамай,агрессивті
өлтіру керек,агрессивті
 өз ісінің маманы,позитивті 
"Ата-анасына мың алғыс Салт-дәстүрімізді сақтап, өз ұлдарына жағдай жасап, көкпар үйретіп жатқанына",позитивті 
Тур оператор жауапты. Клэймнің барлығы соның мойнында. Мәселе туындағанда шешіп бере алмайтын туроператордың Аллаһ бетін ары қылсын.,агрессивті
Қазақты мазақ еткен сайқымазақты неге шығара бересіңдер осы?!!! Одан басқа жаңалықтарың жоқпа! Кімді қызықтырады осы?,агрессивті
 Сізден жақсы ана шығатанына сенімдімін,позитивті 
Жақсы жаңалық,позитивті 
Каргыс атсын буны истеп отыргандарды.Биз казак улкенди курметтеген не боп баражатыр.,агрессивті
"Кайрат үшін ол ақша емес қой, неге атаңаналет Қазақстан каналы неге митинг шыққандарга 15 суткка или вовще срок алып кетет ал осындай клоун дар тайрандап жүреді",агрессивті
"Жарайсындар жігіттер! Барі дұрыс, барі жақсы !",позитивті 
Биіктен көріне бер ,позитивті 
Тамаша .керемет,позитивті 
Мя саган вообще койлек кимей ак койса болады екен,агрессивті
Жеген екенсің хаямды,агрессивті
Жанұясымен бәрі мақтаншақ.,агрессивті
Не үшін жылайды ерсі нәрсе істеген ғой,агрессивті
Куады осы.....,агрессивті
Зорлағандардың бәрін ату жазасына береу керек шшс,агрессивті
"Қандай әсерлі,керемет естеліктер. Бәрекелді, мағыналы өлеңді есітудің өзі бір ғанибет! Рақмет!",позитивті 
Міне нағыз қазақ,позитивті 
Бәрі өтірік для себя жить хочет придурок Балашаға қалды жайымен,агрессивті
Денің сау болсын Алтын құрсақты. Ана. Балаларыңның қызығын көр,позитивті 
Әке құшағы алтыннан да қымбат болып тұрғой,позитивті 
"Полициядагылар онбайды, онбагандар",агрессивті
Ойй киял катын онын богынада уксамайсынго сен,агрессивті
Ишактар охуели шалдан бастап халықты адам санамай,агрессивті
Аллаға шүкір,позитивті 
Айелин уратын еркекти олтиру керек,агрессивті
Қазағым көбейе берсін ,позитивті 
Шалдар,агрессивті
Өте тәрбиелі қыз ,позитивті 
Қандай тамаша ұрпақтарымыз алға жолдарың болсын алтындарым,позитивті 
Мың алғыс,позитивті 
Әдемі қыз екен не болсада,позитивті 
"Атанның басы, шегаранын барлығы жабық тұрса, қайдан пайда болды бул малымет",агрессивті
Осы қызық не бар шетел қанғып ,агрессивті
Алкаштар,агрессивті
Мал,агрессивті
Мал екенсиндер оз халкына ози карсы шыкан,агрессивті
Жарайсың,позитивті 
Алла разы болсын сизге,позитивті 
Қымбат жан,позитивті 
Онбаган жасазын берсин бул малдын,агрессивті
Мен болганда озин тура солай шашынан суйрейтин едим.,агрессивті
Ап бәрекелді,позитивті 
Сәттілiк бауырым,позитивті 
Ешкілер,агрессивті
"Надандық немесе сіз аңқау болғансыз. Оқымаған білім төмен, басқа әдебиет кітап оқымағандар деуге болады.",агрессивті
"Еліне елеулі, халқына қалаулы болсын!  Жарайсыңдар! ",позитивті 
Кытаиды жою керек жер бетинен,агрессивті
Алла сақтасын Алла өзі кешірсін не мынау жұртқа жексұрын жеркенішті көріңіп,агрессивті
Өлім жазасына кесу керек бұндайларды,агрессивті
Жаным сол,позитивті 
Келін қылатын қыз екен,позитивті 
Осекши еркек шаоапов,агрессивті
шешен амы автор не шегип алгансын,агрессивті
Көз тимесін сендерге,позитивті 
Катыны шайтан гой Жулдыз,агрессивті
недеген әдемі едің,позитивті 
Бір жерді қысып үйде отыру керек деген осы,агрессивті
"Жегендердің желкесінен шығып, 7 ұрпағы қайыршы болсын, егер шынымен жемқорлар талан қылса.",агрессивті
"Ой осы қатын қуа береді екен, біресе араласпаймын деп еді..., ата-әжеден тәрбие алған қызға сен ұқсамайсың...",агрессивті
халық қаһарманы,позитивті 
Террорисшіл әрі өтірікші қытай билігі құласа нұр үстіне нұр болар еді,агрессивті
Өте дұрыс айтады! Алла разы болсын!,позитивті 
Топастар!!!,агрессивті
Өте сұлусыз,позитивті 
Күшті!,позитивті 
ИншАлла ашылмай калсын керек еткен адамдарга есик ашык кетиндер сасык намыссыз кытайга,агрессивті
Осындай азаматтарға Алланың нұры жаусын.,позитивті 
Кытайды жаксы коретин макулыктарга айтарым сендер малсындар,агрессивті
Осының жаңалығын мақтанып жазасыңдар ма? Әлде осы маймылға фанат боп жүрсіңдер ма,агрессивті
Азамат салт дәстүрді үйреніп жүрген үлкен жігіт бол нұрың алдыңнан жаусын,позитивті 
"кары какпас саган не керек сол.,оданда кызыктарын корып журе бер",агрессивті
Бір жерлерін тесіп шығады ғо арам ақша,агрессивті
Дурыс. Кари шалынды тастаганын жаксы болган,агрессивті
Аллах күш қуат берсін,позитивті 
ең керемет кісі,позитивті 
Бензинді көттеріңе тығып қойыңдар вапше қазақстанға сатраңдар өз пайдаларыңа сатыңдар біркүні халық бензиндеріңмен қоса құртып жібермесін,агрессивті
Бейонс естимесын уят болады!,агрессивті
"айналайын, кішкентай жүрегіңнен сенің",позитивті 
Не винная овечка бола қалмаш девочка ұқсап өтірік қорықсаң біреудің байын неге тартып алдың,агрессивті
Акшамен котин суртетин иттер,агрессивті
Сіз үшін қуаныштымын!,позитивті 
Ешак.қатын,агрессивті
Керемет қазақтың көк туы желбірей берсін!,позитивті 
Өте дұрыс айтасыз!,позитивті 
Осындай заманда қыдырып нелері бар тыныш отырмайма осындайлар елге індет әкелетін,агрессивті
"Блять сукалар булар бастыкпын деп халыкты менсинбей кеуделерине нан писип кутырып кетеди ,хайуаннан бетер дореки осындай онбагандарды сабасына халык тусиреди сауап . ",агрессивті
Оқ атылуы кк еді сенен кұтылатын едік,агрессивті
Рахаттанып тыңдап алдық. Өте әсерлі.,позитивті 
өте тамаша адам даже супер,позитивті 
Қазақы киіммен қыздар өте сұлу көрінеді.,позитивті 
"үлгілі келін өзін жақсы ұстайды, ұзын киім киеді ",позитивті 
Өле бер,агрессивті
Жарайсың ризамын саған.,позитивті 
"Сорлы бейшара неме ""НЕ ЕКСЕН СОНЫ ОРАСЫН.НЕГЕ АЙЕЛДЕН КОРЕСИН ОЗИННИН БЕРГЕНИНДИ ТУАДЫГОЙ.ОСЫНДАЙ САНАСЫЗ КУЙЕУДЕН КУДАЙ САКТАСЫН",агрессивті
Фууу,агрессивті
Әйтеуір пайдаланып калу кереккой өкімет ақша түсіретін жерлерді,агрессивті
Топастар оку орнын жапканша қосылайық қалаулым сиякты орындарды жапсын. Қазақ ұрпағын құрту бұл да.,агрессивті
Хайуан ит түрің құрғыр,агрессивті
Бастарын кемба жогарыдагылардын.Еии мангурттер биздер бензинди тиынга мелочка полныи бак куип журетин халык болуымыз керекко.Казир халык тиын санап куип жур бензинди пазор,агрессивті
керемет жансыз. Қыз балалар сізден үлгі алса жақсы болар еді. Шығармашылық табыс тілеймін. Аман болыңыз.,позитивті 
Сізге бәрі жарасады,позитивті 
Дурыс соттау керек,агрессивті
"Сол түскен ақшадаг сол қаланы әдемі етсе бір жөн, біреудің қалтасына кетейін деп тұр гой железно",агрессивті
Админ шәйдыңғо конкретно,агрессивті
Пазор негірлер катсып атқанда біздклер мемелекеттің ақшасна қол сұғып жур,агрессивті
Маған қатты ұнайды ,позитивті 
Қандай Әдемі көрініс,позитивті 
Оңбағандар! Алла тағала жазасын берсін.,агрессивті
"Не деген қарапайымдылық ""-Соғыста азаматтық борышымды өтеп келгендердің бірімін"" -деп айта салды. Ал оның артында қаншама ерлік қалды",позитивті 
Мұндайларды халықты жинап дарға асса да болады немесе терісін тірідей сыпырса,агрессивті
Молодец тек алга,позитивті 
Нагыз Казактын алып батыры!!! Мактанышымыз Аман болыныз!!!,позитивті 
Еліміздің мақтанышы!,позитивті 
Жеке басым маған Анна ұнайды керемет жүргізеді.,позитивті 
Қытайды Жерден жоқ қылу керек.,агрессивті
Несіне жылайды дауысы жок екені раско уялмай кайта неге шыға береді мазақ болып.,агрессивті
Уйде тып тыныш отырса оларды ешким кулдыкка сатпайды. Енбек етпей женил акша табуга баргандар гой,агрессивті
"өлгенің жақсы, мал",агрессивті
Өте әсерлі,позитивті 
Көп жаса ,позитивті 
Әумин балалар періште ғой әумин жеңіске жет .,позитивті 
Әдемі  ,позитивті 
Өте жарасымды жұп,позитивті 
өте жақсы актриса өнерін өте жақсы құрметтейміз.Талантты өнерімен .,позитивті 
"өте сауатты, мықты адам",позитивті 
Каптаға жалмауыз Қытайлар .Кырлып жер жұтып кетпейди екен.,агрессивті
"Қойш 10 қабат маска киіп сөілеп отыр да. Сені трактормен таптап кетсе де оның құқы бар, ұйып отырған отбасының берекесін бұзып, әке мен бала арасында, ерлі зацыптылар арасында іріткі салып, күнәсіз періште бола қалуын. Жылай салам деп қояды, қой кейпіндегі қасқырсың ғой. Өтірік жылыап бақытты болмайсың. Дым да ұятың жоқ.",агрессивті
оңбаған қолы сынсын,агрессивті
Көргенсіз.Осы апалы-сіңілді шешінбеген нелерің қалды. Ұятсыздар.,агрессивті
Шешең амы болды десей. Біздің доллыр соғарлардың қолынан ішіп тышқан ғана келді,агрессивті
Бізгеде жұғысты болсын ,позитивті 
Керемет нар тұлға,позитивті 
Бақытты бол,позитивті 
Алғысымды білдіремін,позитивті 
"Әкесінен айналайын , жүрегі жұмсақ Адам екен ! Жақсы азаматтарды тәрбиелепті !",позитивті 
Жындықана күтіп тұр сендерді естерің ауып крышаларың кетіп қалғанба,агрессивті
Мурны баба яганын мурны сиякты,агрессивті
Осындай керемет тарихи тұлғалар жайлы мақала көптеп шықса жақсы болар еді,позитивті 
өте сауатты жақсы,позитивті 
Алкаштар кобейп кеттигой аракты неге мулдем куртпайды екен семьяларды айырылыс уру бала шагасын айелдерин адам олтиру зорлау мас куйнде адам кагу бари осы арактын кесиринен болып жатыр емеспа аракты неменеге шыгарады арактын козин курту керек,агрессивті
Ақын сымақ қашан депутат боласын екіжузді саиқал,агрессивті
"Жарайсыз! Қандай патриотсыз, көп адамдар тудың дұрыс ілінбей тұрғанын байқамаған да шығар. Алла разы болсын, осындай азаматтарымыз көп болсын!",позитивті 
Арсыздар,агрессивті
тәп-тәтті,позитивті 
суканын карны тойганда кол жумсайтын болса,агрессивті
Масқара уят ай позор шошқалар,агрессивті
өмірлікке қамалсын малғұн,агрессивті
Қолы сынғыр.,агрессивті
Бауы берік болсын,позитивті 
"Бұл жерде сөзсіз орган саудасымен байланыс бар.бул жауыздың артында акшалылар бар болуы мүмкін, күманды!",агрессивті
"Көрікті, қылықты ару",позитивті 
"Жап-жас, сұлу әрі талдырмаш мүсінді",позитивті 
Біздің әртістердің бәрі ұятсыз ғой негізі ақша үшін бәріне барады Аллахтан қорықпайды,агрессивті
Мақтауға тұрарлық,позитивті 
"Маскара , сумдык, корлап олтиру керек бул маньяктин озин, адамдарга кауыптыгой.",агрессивті
"Еріксіз көзіме жас келді..... Нағыз азаматтар, ата ананың батасын алып көзінің тірісінде қуантып, тебірентіп. Өркендерін өссін, тапкан еңбектерін берекелі болсын! Бар болыңдар! Аман болыңдар! Бай қуатты болыңдар! Тамаша! Еліміздің осындай азаматтарын үлгі, мақтан тұтамыз! ",позитивті 
Өлсін айуан,агрессивті
"Қашан жезөкшелердің көттері құрттап, шіріп өледі екен. Жезөкшелер мен соларға барған еркектер гана құрттап өлсе мейліғой. Үйінде отырған әйелдеріне де жұқтырадыда. Сосын дүниеге келетін балаларына жұгып, оларда ауру болады. Алладан тілейтінім, сол жезөкшелерге барған еркектердің бәрінің 2і дүниеде көттері құрттап, іріп, шіріп, азаптанып өлсін.",агрессивті
Мысыктар кутырды шшс,агрессивті
Басталды көттері ашылып,агрессивті
Қандай керемет!,позитивті 
Ондай әкімнің аузын айрып тастау керек. Бұрыннан бері неге үндемей жүрген,агрессивті
